name,official_name,population,region,capital
San Marino,Republic of San Marino,33938,Europe,City of San Marino
Gambia,Republic of the Gambia,2416664,Africa,Banjul
Peru,Republic of Peru,32971846,Americas,Lima
Turkey,Republic of Turkey,84339067,Asia,Ankara
Bermuda,Bermuda,63903,Americas,Hamilton
Norway,Kingdom of Norway,5379475,Europe,Oslo
Guinea-Bissau,Republic of Guinea-Bissau,1967998,Africa,Bissau
Eswatini,Kingdom of Eswatini,1160164,Africa,Mbabane
Republic of the Congo,Republic of the Congo,5657000,Africa,Brazzaville
Israel,State of Israel,9216900,Asia,Jerusalem
Bolivia,Plurinational State of Bolivia,11673029,Americas,Sucre
Slovenia,Republic of Slovenia,2100126,Europe,Ljubljana
Germany,Federal Republic of Germany,83240525,Europe,Berlin
Ukraine,Ukraine,44134693,Europe,Kyiv
Benin,Republic of Benin,12123198,Africa,Porto-Novo
Sweden,Kingdom of Sweden,10353442,Europe,Stockholm
Tuvalu,Tuvalu,11792,Oceania,Funafuti
Malaysia,Malaysia,32365998,Asia,Kuala Lumpur
Tonga,Kingdom of Tonga,105697,Oceania,Nuku'alofa
Ivory Coast,Republic of Côte d'Ivoire,26378275,Africa,Yamoussoukro
Australia,Commonwealth of Australia,25687041,Oceania,Canberra
Sierra Leone,Republic of Sierra Leone,7976985,Africa,Freetown
Ghana,Republic of Ghana,31072945,Africa,Accra
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,53192,Americas,Basseterre
Guyana,Co-operative Republic of Guyana,786559,Americas,Georgetown
Iraq,Republic of Iraq,40222503,Asia,Baghdad
Vietnam,Socialist Republic of Vietnam,97338583,Asia,Hanoi
Cameroon,Republic of Cameroon,26545864,Africa,Yaoundé
Azerbaijan,Republic of Azerbaijan,10110116,Asia,Baku
Curaçao,Country of Curaçao,155014,Americas,Willemstad
Iceland,Iceland,366425,Europe,Reykjavik
South Africa,Republic of South Africa,59308690,Africa,Pretoria
Mongolia,Mongolia,3278292,Asia,Ulan Bator
Paraguay,Republic of Paraguay,7132530,Americas,Asunción
Niue,Niue,1470,Oceania,Alofi
Barbados,Barbados,287371,Americas,Bridgetown
Venezuela,Bolivarian Republic of Venezuela,28435943,Americas,Caracas
Malawi,Republic of Malawi,19129955,Africa,Lilongwe
Falkland Islands,Falkland Islands,2563,Americas,Stanley
Egypt,Arab Republic of Egypt,102334403,Africa,Cairo
Taiwan,Republic of China (Taiwan),23503349,Asia,Taipei
Bulgaria,Republic of Bulgaria,6927288,Europe,Sofia
Saint Barthélemy,Collectivity of Saint Barthélemy,4255,Americas,Gustavia
Russia,Russian Federation,144104080,Europe,Moscow
Burkina Faso,Burkina Faso,20903278,Africa,Ouagadougou
Vatican City,Vatican City State,451,Europe,Vatican City
Isle of Man,Isle of Man,85032,Europe,Douglas
Belarus,Republic of Belarus,9398861,Europe,Minsk
Bhutan,Kingdom of Bhutan,771612,Asia,Thimphu
New Zealand,New Zealand,5084300,Oceania,Wellington
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,544,Oceania,West Island
Thailand,Kingdom of Thailand,69799978,Asia,Bangkok
Madagascar,Republic of Madagascar,27691019,Africa,Antananarivo
Croatia,Republic of Croatia,4047200,Europe,Zagreb
Saint Pierre and Miquelon,Saint Pierre and Miquelon,6069,Americas,Saint-Pierre
Puerto Rico,Commonwealth of Puerto Rico,3194034,Americas,San Juan
Djibouti,Republic of Djibouti,988002,Africa,Djibouti
Afghanistan,Islamic Republic of Afghanistan,40218234,Asia,Kabul
India,Republic of India,1380004385,Asia,New Delhi
Ethiopia,Federal Democratic Republic of Ethiopia,114963583,Africa,Addis Ababa
Iran,Islamic Republic of Iran,83992953,Asia,Tehran
Andorra,Principality of Andorra,77265,Europe,Andorra la Vella
Guatemala,Republic of Guatemala,16858333,Americas,Guatemala City
Macau,Macao Special Administrative Region of the People's Republic of China,649342,Asia,Unknown
Martinique,Martinique,378243,Americas,Fort-de-France
Suriname,Republic of Suriname,586634,Americas,Paramaribo
South Georgia,South Georgia and the South Sandwich Islands,30,Antarctic,King Edward Point
Italy,Italian Republic,59554023,Europe,Rome
Fiji,Republic of Fiji,896444,Oceania,Suva
North Korea,Democratic People's Republic of Korea,25778815,Asia,Pyongyang
Kyrgyzstan,Kyrgyz Republic,6591600,Asia,Bishkek
Saudi Arabia,Kingdom of Saudi Arabia,34813867,Asia,Riyadh
Switzerland,Swiss Confederation,8654622,Europe,Bern
Uruguay,Oriental Republic of Uruguay,3473727,Americas,Montevideo
Malta,Republic of Malta,525285,Europe,Valletta
El Salvador,Republic of El Salvador,6486201,Americas,San Salvador
Aruba,Aruba,106766,Americas,Oranjestad
Jordan,Hashemite Kingdom of Jordan,10203140,Asia,Amman
Tokelau,Tokelau,1411,Oceania,Fakaofo
Nauru,Republic of Nauru,10834,Oceania,Yaren
Taiwan,Republic of China (Taiwan),23503349,Asia,Taipei
Poland,Republic of Poland,37950802,Europe,Warsaw
Mauritania,Islamic Republic of Mauritania,4649660,Africa,Nouakchott
Zambia,Republic of Zambia,18383956,Africa,Lusaka
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,219161,Africa,São Tomé
Antarctica,Antarctica,1000,Antarctic,Unknown
Guam,Guam,168783,Oceania,Hagåtña
North Macedonia,Republic of North Macedonia,2077132,Europe,Skopje
Togo,Togolese Republic,8278737,Africa,Lomé
Qatar,State of Qatar,2881060,Asia,Doha
Myanmar,Republic of the Union of Myanmar,54409794,Asia,Naypyidaw
France,French Republic,67391582,Europe,Paris
Norfolk Island,Territory of Norfolk Island,2302,Oceania,Kingston
Seychelles,Republic of Seychelles,98462,Africa,Victoria
Moldova,Republic of Moldova,2617820,Europe,Chișinău
South Sudan,Republic of South Sudan,11193729,Africa,Juba
Brunei,"Nation of Brunei, Abode of Peace",437483,Asia,Bandar Seri Begawan
Angola,Republic of Angola,32866268,Africa,Luanda
Japan,Japan,125836021,Asia,Tokyo
Spain,Kingdom of Spain,47351567,Europe,Madrid
New Caledonia,New Caledonia,271960,Oceania,Nouméa
Papua New Guinea,Independent State of Papua New Guinea,8947027,Oceania,Port Moresby
Argentina,Argentine Republic,45376763,Americas,Buenos Aires
South Korea,Republic of Korea,51780579,Asia,Seoul
Belize,Belize,397621,Americas,Belmopan
Réunion,Réunion Island,840974,Africa,Saint-Denis
Uzbekistan,Republic of Uzbekistan,34232050,Asia,Tashkent
United States Virgin Islands,Virgin Islands of the United States,106290,Americas,Charlotte Amalie
Serbia,Republic of Serbia,6908224,Europe,Belgrade
United States Minor Outlying Islands,United States Minor Outlying Islands,300,Americas,Washington DC
Cape Verde,Republic of Cabo Verde,555988,Africa,Praia
Cambodia,Kingdom of Cambodia,16718971,Asia,Phnom Penh
Mexico,United Mexican States,128932753,Americas,Mexico City
Romania,Romania,19286123,Europe,Bucharest
Hungary,Hungary,9749763,Europe,Budapest
DR Congo,Democratic Republic of the Congo,108407721,Africa,Kinshasa
Wallis and Futuna,Territory of the Wallis and Futuna Islands,11750,Oceania,Mata-Utu
Somalia,Federal Republic of Somalia,15893219,Africa,Mogadishu
Albania,Republic of Albania,2837743,Europe,Tirana
French Polynesia,French Polynesia,280904,Oceania,Papeetē
Burundi,Republic of Burundi,11890781,Africa,Gitega
Grenada,Grenada,112519,Americas,St. George's
Marshall Islands,Republic of the Marshall Islands,59194,Oceania,Majuro
Central African Republic,Central African Republic,4829764,Africa,Bangui
French Guiana,Guiana,254541,Americas,Cayenne
American Samoa,American Samoa,55197,Oceania,Pago Pago
Saint Lucia,Saint Lucia,183629,Americas,Castries
Kazakhstan,Republic of Kazakhstan,18754440,Asia,Astana
Samoa,Independent State of Samoa,198410,Oceania,Apia
Kenya,Republic of Kenya,53771300,Africa,Nairobi
Nepal,Federal Democratic Republic of Nepal,29136808,Asia,Kathmandu
Finland,Republic of Finland,5530719,Europe,Helsinki
Equatorial Guinea,Republic of Equatorial Guinea,1402985,Africa,Malabo
Mauritius,Republic of Mauritius,1265740,Africa,Port Louis
Liechtenstein,Principality of Liechtenstein,38137,Europe,Vaduz
Anguilla,Anguilla,13452,Americas,The Valley
Guadeloupe,Guadeloupe,400132,Americas,Basse-Terre
Netherlands,Kingdom of the Netherlands,16655799,Europe,Amsterdam
Svalbard and Jan Mayen,Svalbard og Jan Mayen,2562,Europe,Longyearbyen
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",25987,Americas,Kralendijk
Austria,Republic of Austria,8917205,Europe,Vienna
Uganda,Republic of Uganda,45741000,Africa,Kampala
Cayman Islands,Cayman Islands,65720,Americas,George Town
Lebanon,Lebanese Republic,6825442,Asia,Beirut
Liberia,Republic of Liberia,5057677,Africa,Monrovia
Singapore,Republic of Singapore,5685807,Asia,Singapore
Mayotte,Department of Mayotte,226915,Africa,Mamoudzou
Honduras,Republic of Honduras,9904608,Americas,Tegucigalpa
