name,official_name,population,region,capital
Bermuda,Bermuda,63903,Americas,Hamilton
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,57557,Oceania,Saipan
San Marino,Republic of San Marino,33938,Europe,City of San Marino
Niue,Niue,1470,Oceania,Alofi
Gambia,Republic of the Gambia,2416664,Africa,Banjul
Palestine,State of Palestine,4803269,Asia,Ramallah
Turkey,Republic of Turkey,84339067,Asia,Ankara
Sierra Leone,Republic of Sierra Leone,7976985,Africa,Freetown
Peru,Republic of Peru,32971846,Americas,Lima
Norway,Kingdom of Norway,5379475,Europe,Oslo
Bolivia,Plurinational State of Bolivia,11673029,Americas,Sucre
Paraguay,Republic of Paraguay,7132530,Americas,Asunción
Malaysia,Malaysia,32365998,Asia,Kuala Lumpur
Ukraine,Ukraine,44134693,Europe,Kyiv
Guinea-Bissau,Republic of Guinea-Bissau,1967998,Africa,Bissau
Benin,Republic of Benin,12123198,Africa,Porto-Novo
Belgium,Kingdom of Belgium,11555997,Europe,Brussels
Tonga,Kingdom of Tonga,105697,Oceania,Nuku'alofa
Sweden,Kingdom of Sweden,10353442,Europe,Stockholm
Mongolia,Mongolia,3278292,Asia,Ulan Bator
Eswatini,Kingdom of Eswatini,1160164,Africa,Mbabane
South Africa,Republic of South Africa,59308690,Africa,Pretoria
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,53192,Americas,Basseterre
Tuvalu,Tuvalu,11792,Oceania,Funafuti
Australia,Commonwealth of Australia,25687041,Oceania,Canberra
Curaçao,Country of Curaçao,155014,Americas,Willemstad
Ghana,Republic of Ghana,31072945,Africa,Accra
Guyana,Co-operative Republic of Guyana,786559,Americas,Georgetown
Egypt,Arab Republic of Egypt,102334403,Africa,Cairo
Cameroon,Republic of Cameroon,26545864,Africa,Yaoundé
Venezuela,Bolivarian Republic of Venezuela,28435943,Americas,Caracas
Barbados,Barbados,287371,Americas,Bridgetown
Malawi,Republic of Malawi,19129955,Africa,Lilongwe
Ivory Coast,Republic of Côte d'Ivoire,26378275,Africa,Yamoussoukro
Azerbaijan,Republic of Azerbaijan,10110116,Asia,Baku
Bulgaria,Republic of Bulgaria,6927288,Europe,Sofia
Iraq,Republic of Iraq,40222503,Asia,Baghdad
Falkland Islands,Falkland Islands,2563,Americas,Stanley
Angola,Republic of Angola,32866268,Africa,Luanda
Republic of the Congo,Republic of the Congo,5657000,Africa,Brazzaville
Iceland,Iceland,366425,Europe,Reykjavik
Russia,Russian Federation,144104080,Europe,Moscow
Taiwan,Republic of China (Taiwan),23503349,Asia,Taipei
Vatican City,Vatican City State,451,Europe,Vatican City
Vietnam,Socialist Republic of Vietnam,97338583,Asia,Hanoi
Isle of Man,Isle of Man,85032,Europe,Douglas
Croatia,Republic of Croatia,4047200,Europe,Zagreb
Bhutan,Kingdom of Bhutan,771612,Asia,Thimphu
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,544,Oceania,West Island
Burkina Faso,Burkina Faso,20903278,Africa,Ouagadougou
Thailand,Kingdom of Thailand,69799978,Asia,Bangkok
South Georgia,South Georgia and the South Sandwich Islands,30,Antarctic,King Edward Point
India,Republic of India,1380004385,Asia,New Delhi
Puerto Rico,Commonwealth of Puerto Rico,3194034,Americas,San Juan
Afghanistan,Islamic Republic of Afghanistan,40218234,Asia,Kabul
